2024-07-28 09:21:59, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:59, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:59, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:59, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:59, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:59, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:59, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:59, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:21:59, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:22:00, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:22:00, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:22:00, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:22:00, DISTANCE = 0.63, DESIRED VELOCITY = 20.00
2024-07-28 09:22:00, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:22:00, DISTANCE = 0.67, DESIRED VELOCITY = 20.00
2024-07-28 09:22:00, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:22:00, DISTANCE = 0.64, DESIRED VELOCITY = 20.00
2024-07-28 09:22:00, DISTANCE = 0.59, DESIRED VELOCITY = 20.00
2024-07-28 09:22:00, DISTANCE = 0.59, DESIRED VELOCITY = 20.00
2024-07-28 09:22:01, DISTANCE = 0.29, DESIRED VELOCITY = 20.00
2024-07-28 09:22:01, DISTANCE = 0.27, DESIRED VELOCITY = 20.00
2024-07-28 09:22:01, DISTANCE = 0.27, DESIRED VELOCITY = 20.00
2024-07-28 09:22:01, DISTANCE = 0.26, DESIRED VELOCITY = 20.00
2024-07-28 09:22:01, DISTANCE = 0.26, DESIRED VELOCITY = 20.00
2024-07-28 09:22:01, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:01, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:01, DISTANCE = 0.26, DESIRED VELOCITY = 20.00
2024-07-28 09:22:01, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:01, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:02, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:02, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:02, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:02, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:02, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:02, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:02, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:02, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:02, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:02, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:03, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:03, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:03, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:03, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:03, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:03, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:03, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:03, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:03, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:03, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:04, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:04, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:04, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:04, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:04, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:04, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:04, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:04, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:04, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:04, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:05, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:05, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:05, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:05, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:05, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:05, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:05, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:05, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:05, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:05, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:06, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:06, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:06, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:06, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:06, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:06, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:06, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:06, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:06, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:06, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:07, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:07, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:07, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:07, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:07, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:07, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:07, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:07, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:07, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:07, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:08, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:08, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:08, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:08, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:08, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:08, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:08, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:08, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:08, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:08, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:09, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:09, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:09, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:09, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:09, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:09, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:09, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:09, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:09, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:09, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:10, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:10, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:10, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:10, DISTANCE = 0.25, DESIRED VELOCITY = 20.00
2024-07-28 09:22:10, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:10, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:10, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:10, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:10, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:10, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:11, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:11, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:11, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:11, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:11, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:11, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
2024-07-28 09:22:11, DISTANCE = 0.24, DESIRED VELOCITY = 20.00
