2024-07-28 20:38:39, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:39, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:39, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:39, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:39, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:39, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:40, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:40, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:40, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:40, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:40, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:40, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:40, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:40, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:40, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:41, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:41, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:41, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:41, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:41, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:41, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:41, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
2024-07-28 20:38:41, ACTUAL VELOCITY = nan, DESIRED VELOCITY = 30.00, ACTUAL BRAKE = 0.00, DESIRED BRAKE = 0.00, OBSTACLE DISTANCE = inf
